RS_WARD,2124784.151,273463.294,25.005,BS
1,2123071.883,270803.937,3.871,PN
2,2123040.578,270801.833,3.981,PN-NOT-OPEN
3,2123009.039,270800.590,4.151,PN
4,2123007.428,270830.130,4.022,PN-FLOT
5,2123004.045,270928.840,4.038,PN
6,2123034.621,270931.086,6.154,PN-FLOT
7,2123064.921,270931.768,4.098,PN-FLOT
8,2123101.516,270933.747,4.219,PN-FLOT
